id,title,category,price,rating,is_in_stock,availability_text,image_url,book_page_url
14,The Past Never Ends,Mystery,56.5,4,True,In stock,https://books.toscrape.com/media/cache/89/b8/89b850edb01851a91f64ba114b96acb6.jpg,https://books.toscrape.com/the-past-never-ends_942/index.html
15,A Murder in Time,Mystery,16.64,1,True,In stock,https://books.toscrape.com/media/cache/11/aa/11aaad48b5f15e262456ca65294084da.jpg,https://books.toscrape.com/a-murder-in-time_877/index.html
16,The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,44.1,4,True,In stock,https://books.toscrape.com/media/cache/29/fe/29fe70b1b2e5a9ba61d4bd331255e19e.jpg,https://books.toscrape.com/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html
17,The Last Mile (Amos Decker #2),Mystery,54.21,2,True,In stock,https://books.toscrape.com/media/cache/37/f1/37f118b4a56d866e1e8b563759d6966c.jpg,https://books.toscrape.com/the-last-mile-amos-decker-2_754/index.html
18,That Darkness (Gardiner and Renner #1),Mystery,13.92,1,True,In stock,https://books.toscrape.com/media/cache/44/9e/449ed681142bc336646abee754e96639.jpg,https://books.toscrape.com/that-darkness-gardiner-and-renner-1_743/index.html
19,Tastes Like Fear (DI Marnie Rome #3),Mystery,10.69,1,True,In stock,https://books.toscrape.com/media/cache/3c/91/3c91d97266bd6dda322089695fb46daf.jpg,https://books.toscrape.com/tastes-like-fear-di-marnie-rome-3_742/index.html
20,A Time of Torment (Charlie Parker #14),Mystery,48.35,5,True,In stock,https://books.toscrape.com/media/cache/e8/c0/e8c0ba15066bab950ae161fd60949b9a.jpg,https://books.toscrape.com/a-time-of-torment-charlie-parker-14_657/index.html
21,A Study in Scarlet (Sherlock Holmes #1),Mystery,16.73,2,True,In stock,https://books.toscrape.com/media/cache/8f/a4/8fa41d6caa10e427356b8a590eb4d96b.jpg,https://books.toscrape.com/a-study-in-scarlet-sherlock-holmes-1_656/index.html
22,Poisonous (Max Revere Novels #3),Mystery,26.8,3,True,In stock,https://books.toscrape.com/media/cache/23/52/2352718971d5e166fa9541a5a7d716fa.jpg,https://books.toscrape.com/poisonous-max-revere-novels-3_627/index.html
23,Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,54.36,4,True,In stock,https://books.toscrape.com/media/cache/c3/8d/c38d65cd155b67ca025f0655bd1bb095.jpg,https://books.toscrape.com/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html
24,Most Wanted,Mystery,35.28,3,True,In stock,https://books.toscrape.com/media/cache/8b/bc/8bbc5ab4c3784b4d9b93eb0fd1fb6fd6.jpg,https://books.toscrape.com/most-wanted_623/index.html
25,Hide Away (Eve Duncan #20),Mystery,11.84,1,True,In stock,https://books.toscrape.com/media/cache/57/07/5707c3d5d4fd44d943d51730ba7d429a.jpg,https://books.toscrape.com/hide-away-eve-duncan-20_620/index.html
26,Boar Island (Anna Pigeon #19),Mystery,59.48,3,True,In stock,https://books.toscrape.com/media/cache/d5/81/d58157866ea8f015a8e4c55b23b8c96f.jpg,https://books.toscrape.com/boar-island-anna-pigeon-19_613/index.html
27,The Widow,Mystery,27.26,2,True,In stock,https://books.toscrape.com/media/cache/fd/71/fd71fb07247bf911505a351c0670c6dc.jpg,https://books.toscrape.com/the-widow_609/index.html
28,Playing with Fire,Mystery,13.71,3,True,In stock,https://books.toscrape.com/media/cache/90/0b/900bd2e60d56b6480a4e8eb2dddb46d6.jpg,https://books.toscrape.com/playing-with-fire_602/index.html
29,What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,25.37,5,True,In stock,https://books.toscrape.com/media/cache/c7/ab/c7abb5e32bd37118a87523dcee0a70a6.jpg,https://books.toscrape.com/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html
30,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,52.3,5,True,In stock,https://books.toscrape.com/media/cache/95/d7/95d7541679fcbd579b8a4f2b47231aaf.jpg,https://books.toscrape.com/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html
31,Delivering the Truth (Quaker Midwife Mystery #1),Mystery,20.89,4,True,In stock,https://books.toscrape.com/media/cache/57/31/5731a5d46c2c1e88977eb5e6d1337a2e.jpg,https://books.toscrape.com/delivering-the-truth-quaker-midwife-mystery-1_464/index.html
32,The Mysterious Affair at Styles (Hercule Poirot #1),Mystery,24.8,4,True,In stock,https://books.toscrape.com/media/cache/32/94/3294e5eaf73a37958583483fc9a90f04.jpg,https://books.toscrape.com/the-mysterious-affair-at-styles-hercule-poirot-1_452/index.html
33,In the Woods (Dublin Murder Squad #1),Mystery,38.38,2,True,In stock,https://books.toscrape.com/media/cache/24/a1/24a175dac7cb91ff26e2d723cdc6e098.jpg,https://books.toscrape.com/in-the-woods-dublin-murder-squad-1_433/index.html
34,The Silkworm (Cormoran Strike #2),Mystery,23.05,5,True,In stock,https://books.toscrape.com/media/cache/3a/2c/3a2c46cd40a7ecbd7c40815d6390fb8a.jpg,https://books.toscrape.com/the-silkworm-cormoran-strike-2_280/index.html
35,The Exiled,Mystery,43.45,3,True,In stock,https://books.toscrape.com/media/cache/2d/1a/2d1aeb1cc8a23064164e230fa232cc04.jpg,https://books.toscrape.com/the-exiled_247/index.html
36,The Cuckoo's Calling (Cormoran Strike #1),Mystery,19.21,1,True,In stock,https://books.toscrape.com/media/cache/11/81/11815f24d043f77d4f09a3522a688a5c.jpg,https://books.toscrape.com/the-cuckoos-calling-cormoran-strike-1_239/index.html
37,Extreme Prey (Lucas Davenport #26),Mystery,25.4,3,True,In stock,https://books.toscrape.com/media/cache/de/86/de86d4f1563fad2ca088922fbbb2b36a.jpg,https://books.toscrape.com/extreme-prey-lucas-davenport-26_154/index.html
38,Career of Evil (Cormoran Strike #3),Mystery,24.72,2,True,In stock,https://books.toscrape.com/media/cache/9e/ff/9eff8b66d583e8f0ba58a0bc86de40f2.jpg,https://books.toscrape.com/career-of-evil-cormoran-strike-3_137/index.html
39,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Mystery,57.7,4,True,In stock,https://books.toscrape.com/media/cache/34/2e/342ec55d460f3dd49d77dac2bd4ff489.jpg,https://books.toscrape.com/the-no-1-ladies-detective-agency-no-1-ladies-detective-agency-1_76/index.html
40,The Girl You Lost,Mystery,12.29,5,True,In stock,https://books.toscrape.com/media/cache/90/0d/900dba6987796f4312a6a6737b0ea94d.jpg,https://books.toscrape.com/the-girl-you-lost_66/index.html
41,The Girl In The Ice (DCI Erika Foster #1),Mystery,15.85,3,True,In stock,https://books.toscrape.com/media/cache/d8/f7/d8f77fe7f4bb8610e903741441f84702.jpg,https://books.toscrape.com/the-girl-in-the-ice-dci-erika-foster-1_65/index.html
42,Blood Defense (Samantha Brinkman #1),Mystery,20.3,3,True,In stock,https://books.toscrape.com/media/cache/cb/f6/cbf6d4b61953f29d7eedd2c9e01a9d74.jpg,https://books.toscrape.com/blood-defense-samantha-brinkman-1_8/index.html
43,1st to Die (Women's Murder Club #1),Mystery,53.98,1,True,In stock,https://books.toscrape.com/media/cache/2b/41/2b4161c5b72a4ae386b644682361b34a.jpg,https://books.toscrape.com/1st-to-die-womens-murder-club-1_2/index.html
44,Tipping the Velvet,Historical Fiction,53.74,1,True,In stock,https://books.toscrape.com/media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg,https://books.toscrape.com/tipping-the-velvet_999/index.html
45,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,29.69,3,True,In stock,https://books.toscrape.com/media/cache/d6/58/d658a1485b130ff26ca5fb0d5975ed2e.jpg,https://books.toscrape.com/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html
46,A Flight of Arrows (The Pathfinders #2),Historical Fiction,55.53,5,True,In stock,https://books.toscrape.com/media/cache/82/96/8296f92b70fb1dafefecda92c1d51941.jpg,https://books.toscrape.com/a-flight-of-arrows-the-pathfinders-2_876/index.html
47,The House by the Lake,Historical Fiction,36.95,1,True,In stock,https://books.toscrape.com/media/cache/0d/cb/0dcb33d60b0e79adf8ab9842e697ea2e.jpg,https://books.toscrape.com/the-house-by-the-lake_846/index.html
48,Mrs. Houdini,Historical Fiction,30.25,5,True,In stock,https://books.toscrape.com/media/cache/0e/fe/0efe86960cdff718aed01a5c3f65b1c3.jpg,https://books.toscrape.com/mrs-houdini_821/index.html
49,The Marriage of Opposites,Historical Fiction,28.08,4,True,In stock,https://books.toscrape.com/media/cache/0f/c2/0fc21ec3489cb23116778ee84f425eca.jpg,https://books.toscrape.com/the-marriage-of-opposites_759/index.html
50,Glory over Everything: Beyond The Kitchen House,Historical Fiction,45.84,3,True,In stock,https://books.toscrape.com/media/cache/96/41/964194a317f8ce5ed031bf4c9ceb43ab.jpg,https://books.toscrape.com/glory-over-everything-beyond-the-kitchen-house_696/index.html
51,"Love, Lies and Spies",Historical Fiction,20.55,2,True,In stock,https://books.toscrape.com/media/cache/7a/22/7a224a6e174af91950e9b124afe54e0e.jpg,https://books.toscrape.com/love-lies-and-spies_622/index.html
52,A Paris Apartment,Historical Fiction,39.01,4,True,In stock,https://books.toscrape.com/media/cache/16/57/16575316618bd7e922d5b0e0f87de2ca.jpg,https://books.toscrape.com/a-paris-apartment_612/index.html
53,Lilac Girls,Historical Fiction,17.28,2,True,In stock,https://books.toscrape.com/media/cache/6c/2e/6c2e764e3ea89859b52df8de4f12af7a.jpg,https://books.toscrape.com/lilac-girls_597/index.html
54,The Constant Princess (The Tudor Court #1),Historical Fiction,16.62,3,True,In stock,https://books.toscrape.com/media/cache/fc/80/fc80b999ff4b8ef24b7071f62d2bf6d1.jpg,https://books.toscrape.com/the-constant-princess-the-tudor-court-1_493/index.html
55,The Invention of Wings,Historical Fiction,37.34,1,True,In stock,https://books.toscrape.com/media/cache/62/fa/62fa1e72f06f05762db5d9cedf654153.jpg,https://books.toscrape.com/the-invention-of-wings_448/index.html
56,World Without End (The Pillars of the Earth #2),Historical Fiction,32.97,4,True,In stock,https://books.toscrape.com/media/cache/be/7c/be7ce6fbc9a8e1a5a5b5c32e73cfd78a.jpg,https://books.toscrape.com/world-without-end-the-pillars-of-the-earth-2_420/index.html
57,The Passion of Dolssa,Historical Fiction,28.32,5,True,In stock,https://books.toscrape.com/media/cache/6b/82/6b822681c4035131560d40dd3b5a6a2e.jpg,https://books.toscrape.com/the-passion-of-dolssa_351/index.html
58,Girl With a Pearl Earring,Historical Fiction,26.77,1,True,In stock,https://books.toscrape.com/media/cache/b7/ad/b7ad37d93d8401c84d7325aa645ff6d5.jpg,https://books.toscrape.com/girl-with-a-pearl-earring_322/index.html
59,Voyager (Outlander #3),Historical Fiction,21.07,5,True,In stock,https://books.toscrape.com/media/cache/b5/d8/b5d813da01f2ccd7bcfe34e2b875e752.jpg,https://books.toscrape.com/voyager-outlander-3_299/index.html
60,The Red Tent,Historical Fiction,35.66,5,True,In stock,https://books.toscrape.com/media/cache/b2/8f/b28f211e50e74445ca071d4279d1080d.jpg,https://books.toscrape.com/the-red-tent_273/index.html
61,The Last Painting of Sara de Vos,Historical Fiction,55.55,2,True,In stock,https://books.toscrape.com/media/cache/bf/fd/bffd473ab232c5f35e8c81bb927f1624.jpg,https://books.toscrape.com/the-last-painting-of-sara-de-vos_259/index.html
62,The Guernsey Literary and Potato Peel Pie Society,Historical Fiction,49.53,1,True,In stock,https://books.toscrape.com/media/cache/18/f7/18f7bf6366cd7a8b947fd790d808047b.jpg,https://books.toscrape.com/the-guernsey-literary-and-potato-peel-pie-society_253/index.html
63,Girl in the Blue Coat,Historical Fiction,46.83,2,True,In stock,https://books.toscrape.com/media/cache/bf/7a/bf7a5bc1d1ebac5e9b6fbb147828a123.jpg,https://books.toscrape.com/girl-in-the-blue-coat_160/index.html
64,Between Shades of Gray,Historical Fiction,20.79,5,True,In stock,https://books.toscrape.com/media/cache/f9/19/f919f64fc0e3642cdc604134bfd93774.jpg,https://books.toscrape.com/between-shades-of-gray_128/index.html
65,While You Were Mine,Historical Fiction,41.32,5,True,In stock,https://books.toscrape.com/media/cache/45/e8/45e87bcad554d79eadf0f89df9cac6f9.jpg,https://books.toscrape.com/while-you-were-mine_97/index.html
66,The Secret Healer,Historical Fiction,34.56,3,True,In stock,https://books.toscrape.com/media/cache/69/d2/69d225899cce0a150c605ead01e02f60.jpg,https://books.toscrape.com/the-secret-healer_80/index.html
67,Starlark,Historical Fiction,25.83,3,True,In stock,https://books.toscrape.com/media/cache/b4/9e/b49e66e8f446d9a3dae488955f2aa487.jpg,https://books.toscrape.com/starlark_56/index.html
68,Lost Among the Living,Historical Fiction,27.7,4,True,In stock,https://books.toscrape.com/media/cache/5a/40/5a40d914bc3491e5909f1167f9cb34f2.jpg,https://books.toscrape.com/lost-among-the-living_31/index.html
69,A Spy's Devotion (The Regency Spies of London #1),Historical Fiction,16.97,5,True,In stock,https://books.toscrape.com/media/cache/1b/5f/1b5ff86f3c75e51e24c573d3f8bffd8f.jpg,https://books.toscrape.com/a-spys-devotion-the-regency-spies-of-london-1_3/index.html
70,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,52.29,5,True,In stock,https://books.toscrape.com/media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg,https://books.toscrape.com/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
71,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,16.28,1,True,In stock,https://books.toscrape.com/media/cache/36/df/36df4caaf1420b1183a8235355d39e69.jpg,https://books.toscrape.com/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
72,This One Summer,Sequential Art,19.49,4,True,In stock,https://books.toscrape.com/media/cache/c4/dd/c4ddd9ced89966b0602ec85e00cd5b61.jpg,https://books.toscrape.com/this-one-summer_947/index.html
73,The Nameless City (The Nameless City #1),Sequential Art,38.16,4,True,In stock,https://books.toscrape.com/media/cache/f4/79/f479de5f305c2ac0512702cf7155bb74.jpg,https://books.toscrape.com/the-nameless-city-the-nameless-city-1_940/index.html
74,"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,51.04,2,True,In stock,https://books.toscrape.com/media/cache/e1/ea/e1ea6cb36e62ae6dc7b805f68ab9a700.jpg,https://books.toscrape.com/saga-volume-5-saga-collected-editions-5_923/index.html
75,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,50.4,3,True,In stock,https://books.toscrape.com/media/cache/f3/ef/f3efd43ae0fa85d9b325d5e8783e7af5.jpg,https://books.toscrape.com/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html
76,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,13.61,5,True,In stock,https://books.toscrape.com/media/cache/78/0b/780b2c28122750c2c383846155815bf7.jpg,https://books.toscrape.com/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
77,"Pop Gun War, Volume 1: Gift",Sequential Art,18.97,1,True,In stock,https://books.toscrape.com/media/cache/c8/2f/c82f629a31b3f47bdb17ac14aa51076d.jpg,https://books.toscrape.com/pop-gun-war-volume-1-gift_918/index.html
78,Patience,Sequential Art,10.16,3,True,In stock,https://books.toscrape.com/media/cache/01/72/01726c619a05114dca75bd840095016d.jpg,https://books.toscrape.com/patience_916/index.html
79,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,15.44,4,True,In stock,https://books.toscrape.com/media/cache/cb/00/cb004189f548d75ad430d3ed19e6daa9.jpg,https://books.toscrape.com/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html
80,orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,48.41,1,True,In stock,https://books.toscrape.com/media/cache/03/88/03886a8502ca54dbce0d91c2568ab69d.jpg,https://books.toscrape.com/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html
81,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,46.91,2,True,In stock,https://books.toscrape.com/media/cache/d3/15/d3158e8d3546fb90cced3c1d44a92a34.jpg,https://books.toscrape.com/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html
82,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,45.61,3,True,In stock,https://books.toscrape.com/media/cache/7e/a0/7ea062007ef00107e3c16d336b41fab2.jpg,https://books.toscrape.com/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html
83,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,19.92,2,True,In stock,https://books.toscrape.com/media/cache/5f/b1/5fb1bf88dcfda795606745ce35be5975.jpg,https://books.toscrape.com/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html
84,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Sequential Art,29.17,2,True,In stock,https://books.toscrape.com/media/cache/aa/74/aa74004807e97a79aa084b5db329a99b.jpg,https://books.toscrape.com/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html
85,I am a Hero Omnibus Volume 1,Sequential Art,54.63,3,True,In stock,https://books.toscrape.com/media/cache/16/d4/16d443437126bf6d536a89312c1995a5.jpg,https://books.toscrape.com/i-am-a-hero-omnibus-volume-1_898/index.html
86,"Giant Days, Vol. 2 (Giant Days #5-8)",Sequential Art,22.11,2,True,In stock,https://books.toscrape.com/media/cache/90/6f/906f0168b0e155a7077625499b1737b5.jpg,https://books.toscrape.com/giant-days-vol-2-giant-days-5-8_895/index.html
87,Danganronpa Volume 1,Sequential Art,51.99,4,True,In stock,https://books.toscrape.com/media/cache/78/97/7897eea91c4a85aca58d925861d4afec.jpg,https://books.toscrape.com/danganronpa-volume-1_889/index.html
88,"Codename Baboushka, Volume 1: The Conclave of Death",Sequential Art,36.72,4,True,In stock,https://books.toscrape.com/media/cache/f6/88/f688a9d6a89fdf38e4e88439ee9eda69.jpg,https://books.toscrape.com/codename-baboushka-volume-1-the-conclave-of-death_887/index.html
89,Camp Midnight,Sequential Art,17.08,4,True,In stock,https://books.toscrape.com/media/cache/dd/c9/ddc95df6754df8e71bf969c088056188.jpg,https://books.toscrape.com/camp-midnight_886/index.html
90,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Sequential Art,37.92,2,True,In stock,https://books.toscrape.com/media/cache/e4/1d/e41d34204a1fffbf825d8beb3dbf4cbc.jpg,https://books.toscrape.com/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html
91,The Shadow Hero (The Shadow Hero),Sequential Art,33.14,1,True,In stock,https://books.toscrape.com/media/cache/1f/62/1f621dda1b302fc16d83d94b0b5ac31c.jpg,https://books.toscrape.com/the-shadow-hero-the-shadow-hero_860/index.html
92,"Fables, Vol. 1: Legends in Exile (Fables #1)",Sequential Art,41.62,4,True,In stock,https://books.toscrape.com/media/cache/51/8c/518c184a793b751b43045637c8002eb7.jpg,https://books.toscrape.com/fables-vol-1-legends-in-exile-fables-1_806/index.html
93,Batman: The Long Halloween (Batman),Sequential Art,36.5,2,True,In stock,https://books.toscrape.com/media/cache/78/a7/78a7f184a4d6d62412861c68f1c3ad90.jpg,https://books.toscrape.com/batman-the-long-halloween-batman_793/index.html
94,Batman: The Dark Knight Returns (Batman),Sequential Art,15.38,5,True,In stock,https://books.toscrape.com/media/cache/be/a9/bea95dbd7b2a843519c9a1dcfc433f9b.jpg,https://books.toscrape.com/batman-the-dark-knight-returns-batman_792/index.html
95,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Sequential Art,37.34,4,True,In stock,https://books.toscrape.com/media/cache/19/39/19396172462f4cc0504d4e6e8b0e1647.jpg,https://books.toscrape.com/wonder-woman-earth-one-volume-one-wonder-woman-earth-one-1_783/index.html
96,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",Sequential Art,53.9,1,True,In stock,https://books.toscrape.com/media/cache/66/d6/66d6d2b4c0acfa8f40ad0285186ed2d8.jpg,https://books.toscrape.com/we-are-robin-vol-1-the-vigilante-business-we-are-robin-1_778/index.html
97,Through the Woods,Sequential Art,25.38,2,True,In stock,https://books.toscrape.com/media/cache/4c/af/4caf8f2a5ee8828d408cc8faadd3419c.jpg,https://books.toscrape.com/through-the-woods_772/index.html
98,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),Sequential Art,11.89,5,True,In stock,https://books.toscrape.com/media/cache/7e/c0/7ec0e9ca6153a23b2024b7df7407ee84.jpg,https://books.toscrape.com/superman-vol-1-before-truth-superman-by-gene-luen-yang-1_739/index.html
99,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",Sequential Art,35.43,4,True,In stock,https://books.toscrape.com/media/cache/b2/48/b2484d13793ff1c4271a3d4023d4d24e.jpg,https://books.toscrape.com/so-cute-it-hurts-vol-6-so-cute-it-hurts-6_734/index.html
100,Robin War,Sequential Art,47.82,3,True,In stock,https://books.toscrape.com/media/cache/45/1d/451d3543022242b8b245793e6b5c26bb.jpg,https://books.toscrape.com/robin-war_730/index.html
101,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",Sequential Art,25.48,2,True,In stock,https://books.toscrape.com/media/cache/da/78/da78757466c3b0a2c89f0ddf6b5e642f.jpg,https://books.toscrape.com/red-hoodarsenal-vol-1-open-for-business-red-hoodarsenal-1_729/index.html
102,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",Sequential Art,38.39,2,True,In stock,https://books.toscrape.com/media/cache/c8/22/c822360ce0f91c40f7a0491c22287646.jpg,https://books.toscrape.com/naruto-3-in-1-edition-vol-14-includes-vols-40-41-42-naruto-omnibus-14_721/index.html
103,Lowriders to the Center of the Earth (Lowriders in Space #2),Sequential Art,51.51,2,True,In stock,https://books.toscrape.com/media/cache/b2/97/b2978e96069dd91785e5ab0bc99c022e.jpg,https://books.toscrape.com/lowriders-to-the-center-of-the-earth-lowriders-in-space-2_712/index.html
104,El Deafo,Sequential Art,57.62,5,True,In stock,https://books.toscrape.com/media/cache/34/eb/34eb0f1b570d4f1f6ad106652f1ac6ff.jpg,https://books.toscrape.com/el-deafo_691/index.html
105,Batman: Europa,Sequential Art,32.01,2,True,In stock,https://books.toscrape.com/media/cache/f1/fe/f1fecf0ce9b5771e4d2c9619e8550988.jpg,https://books.toscrape.com/batman-europa_668/index.html
106,Art Ops Vol. 1,Sequential Art,48.8,3,True,In stock,https://books.toscrape.com/media/cache/0b/b4/0bb4c64f1522c033368df5567a349472.jpg,https://books.toscrape.com/art-ops-vol-1_664/index.html
107,"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",Sequential Art,10.9,2,True,In stock,https://books.toscrape.com/media/cache/a2/b9/a2b974e5a66e7502c77d2e4632abe033.jpg,https://books.toscrape.com/adulthood-is-a-myth-a-sarahs-scribbles-collection_659/index.html
108,"Fruits Basket, Vol. 9 (Fruits Basket #9)",Sequential Art,33.95,4,True,In stock,https://books.toscrape.com/media/cache/7c/ea/7cea6ff4f6f1427739b136db35fbfad4.jpg,https://books.toscrape.com/fruits-basket-vol-9-fruits-basket-9_563/index.html
109,Roller Girl,Sequential Art,14.1,5,True,In stock,https://books.toscrape.com/media/cache/b8/bd/b8bd3e5bc547c7c851689a844c9db429.jpg,https://books.toscrape.com/roller-girl_540/index.html
110,"Fruits Basket, Vol. 7 (Fruits Basket #7)",Sequential Art,19.57,1,True,In stock,https://books.toscrape.com/media/cache/b4/36/b43672509477baa090e57ebeacbb28fb.jpg,https://books.toscrape.com/fruits-basket-vol-7-fruits-basket-7_468/index.html
111,"Fruits Basket, Vol. 6 (Fruits Basket #6)",Sequential Art,20.96,4,True,In stock,https://books.toscrape.com/media/cache/94/1a/941a14dec32f0a949c38a325a715c138.jpg,https://books.toscrape.com/fruits-basket-vol-6-fruits-basket-6_427/index.html
112,"Death Note, Vol. 6: Give-and-Take (Death Note #6)",Sequential Art,36.39,3,True,In stock,https://books.toscrape.com/media/cache/07/5c/075c210f5ce43b84d29646a54529d1bd.jpg,https://books.toscrape.com/death-note-vol-6-give-and-take-death-note-6_425/index.html
